state,Q1,Q2,Q3
Alabama,1181.8733031674208,1347.5158371040725,1190.502262443439
Alaska,1211.0967741935483,1274.1935483870968,1192.1935483870968
Arizona,1348.7358490566037,1287.377358490566,1294.7924528301887
Arkansas,965.2434210526316,970.4736842105264,934.4122807017544
California,1754.247491638796,1670.2140468227424,1707.576923076923
Colorado,1321.7203389830509,1276.5564971751412,1295.2401129943503
Connecticut,1486.216049382716,1633.4444444444443,1560.1913580246915
Delaware,2739.0,2166.714285714286,3226.5714285714284
Florida,1489.521072796935,1407.927203065134,1424.072796934866
Georgia,1002.0523560209424,941.7015706806283,930.3403141361257
Hawaii,1660.5555555555557,1614.736111111111,1749.0277777777778
Idaho,1029.0866873065015,1150.0123839009289,1094.6160990712074
Illinois,1047.27868852459,996.8032786885246,1009.4098360655738
Indiana,822.1834586466165,782.9894736842106,793.6360902255639
Iowa,1225.9479768786127,1347.7398843930637,1265.4046242774566
Kansas,815.5724852071006,807.8402366863905,795.2781065088758
Kentucky,1234.673076923077,1166.9663461538462,1230.9471153846155
Louisiana,1042.6776859504132,1105.685950413223,1022.6115702479339
Maine,1216.029268292683,1188.6829268292684,1228.2048780487805
Maryland,1634.517857142857,1504.1785714285713,1514.517857142857
Massachusetts,1901.8223684210527,1829.9868421052631,1754.2631578947369
Michigan,1200.7578125,1130.0078125,1111.68359375
Minnesota,1182.7179487179487,1116.3589743589744,1114.9615384615386
Mississippi,778.4953617810761,768.3858998144713,769.9387755102041
Missouri,870.9697802197802,835.679945054945,834.9821428571429
Montana,1332.8095238095239,1126.6190476190477,1106.9142857142858
Nebraska,930.2405063291139,907.3417721518987,867.7974683544304
Nevada,1358.7133757961783,1291.3248407643312,1351.8535031847134
New Hampshire,1910.7843137254902,2133.823529411765,2269.7450980392155
New Jersey,1799.4368932038835,1580.985436893204,1564.4174757281553
New Mexico,1066.3377777777778,1041.4288888888889,1035.9777777777779
New York,1635.9458128078818,1501.2068965517242,1529.0689655172414
North Carolina,1122.554959785523,1104.3646112600536,1151.632707774799
North Dakota,918.5267489711935,908.9053497942386,919.440329218107
Ohio,1071.571794871795,1062.7371794871794,1037.1474358974358
Oklahoma,1017.8961038961039,996.1558441558442,1020.8441558441558
Oregon,1654.5661375661375,1644.7354497354497,1591.2222222222222
Pennsylvania,1608.2371794871794,1433.8653846153845,1391.1089743589744
Puerto Rico,749.7375,751.875,760.25
Rhode Island,1690.5,1522.6785714285713,1518.5357142857142
South Carolina,1339.957671957672,1175.3333333333333,1200.4285714285713
South Dakota,1094.6607142857142,1045.767857142857,1048.9285714285713
Tennessee,1328.490625,1276.734375,1278.61875
Texas,1476.636170212766,1440.9531914893616,1391.968085106383
Utah,941.5107296137339,939.8025751072961,926.9399141630902
Vermont,1345.0416666666667,1363.0833333333333,1289.5
Virgin Islands,553.6666666666666,1261.0,1193.1666666666667
Virginia,1336.1943005181347,1234.6748704663212,1315.103626943005
Washington,1761.2642857142857,1706.1571428571428,1789.8535714285715
West Virginia,992.5714285714286,1014.3067915690866,1021.9180327868852
Wisconsin,1335.195945945946,1191.25,1211.1081081081081
Wyoming,993.6666666666666,1101.1190476190477,1074.857142857143
