,avg_wkly_wage_x,avg_wkly_wage_y,avg_wkly_wage,state
0,741,737,709,Alabama 
1,741,737,1464,Alabama 
2,741,737,634,Alabama 
3,741,737,1561,Alabama 
4,741,2654,709,Alabama 
5,741,2654,1464,Alabama 
6,741,2654,634,Alabama 
7,741,2654,1561,Alabama 
8,741,596,709,Alabama 
9,741,596,1464,Alabama 
10,741,596,634,Alabama 
11,741,596,1561,Alabama 
12,741,1614,709,Alabama 
13,741,1614,1464,Alabama 
14,741,1614,634,Alabama 
15,741,1614,1561,Alabama 
16,1213,737,709,Alabama 
17,1213,737,1464,Alabama 
18,1213,737,634,Alabama 
19,1213,737,1561,Alabama 
20,1213,2654,709,Alabama 
21,1213,2654,1464,Alabama 
22,1213,2654,634,Alabama 
23,1213,2654,1561,Alabama 
24,1213,596,709,Alabama 
25,1213,596,1464,Alabama 
26,1213,596,634,Alabama 
27,1213,596,1561,Alabama 
28,1213,1614,709,Alabama 
29,1213,1614,1464,Alabama 
30,1213,1614,634,Alabama 
31,1213,1614,1561,Alabama 
32,618,737,709,Alabama 
33,618,737,1464,Alabama 
34,618,737,634,Alabama 
35,618,737,1561,Alabama 
36,618,2654,709,Alabama 
37,618,2654,1464,Alabama 
38,618,2654,634,Alabama 
39,618,2654,1561,Alabama 
40,618,596,709,Alabama 
41,618,596,1464,Alabama 
42,618,596,634,Alabama 
43,618,596,1561,Alabama 
44,618,1614,709,Alabama 
45,618,1614,1464,Alabama 
46,618,1614,634,Alabama 
47,618,1614,1561,Alabama 
48,1715,737,709,Alabama 
49,1715,737,1464,Alabama 
50,1715,737,634,Alabama 
51,1715,737,1561,Alabama 
52,1715,2654,709,Alabama 
53,1715,2654,1464,Alabama 
54,1715,2654,634,Alabama 
55,1715,2654,1561,Alabama 
56,1715,596,709,Alabama 
57,1715,596,1464,Alabama 
58,1715,596,634,Alabama 
59,1715,596,1561,Alabama 
60,1715,1614,709,Alabama 
61,1715,1614,1464,Alabama 
62,1715,1614,634,Alabama 
63,1715,1614,1561,Alabama 
64,0,0,0, Alabama
65,0,0,1792, Alabama
66,0,1584,0, Alabama
67,0,1584,1792, Alabama
68,1638,0,0, Alabama
69,1638,0,1792, Alabama
70,1638,1584,0, Alabama
71,1638,1584,1792, Alabama
72,716,978,859, Alabama
73,716,978,0, Alabama
74,716,978,1411, Alabama
75,716,0,859, Alabama
76,716,0,0, Alabama
77,716,0,1411, Alabama
78,716,1405,859, Alabama
79,716,1405,0, Alabama
80,716,1405,1411, Alabama
81,0,978,859, Alabama
82,0,978,0, Alabama
83,0,978,1411, Alabama
84,0,0,859, Alabama
85,0,0,0, Alabama
86,0,0,1411, Alabama
87,0,1405,859, Alabama
88,0,1405,0, Alabama
89,0,1405,1411, Alabama
90,1510,978,859, Alabama
91,1510,978,0, Alabama
92,1510,978,1411, Alabama
93,1510,0,859, Alabama
94,1510,0,0, Alabama
95,1510,0,1411, Alabama
96,1510,1405,859, Alabama
97,1510,1405,0, Alabama
98,1510,1405,1411, Alabama
99,0,0,0, Alabama
100,0,0,0, Alabama
101,0,0,813, Alabama
102,0,801,0, Alabama
103,0,801,813, Alabama
104,879,0,0, Alabama
105,879,0,813, Alabama
106,879,801,0, Alabama
107,879,801,813, Alabama
108,1110,1173,1097, Alabama
109,0,0,0, Alabama
110,0,0,0, Alabama
111,0,0,715, Alabama
112,0,788,0, Alabama
113,0,788,715, Alabama
114,709,0,0, Alabama
115,709,0,715, Alabama
116,709,788,0, Alabama
117,709,788,715, Alabama
118,0,0,0, Alabama
119,0,0,979, Alabama
120,0,1006,0, Alabama
121,0,1006,979, Alabama
122,1043,0,0, Alabama
123,1043,0,979, Alabama
124,1043,1006,0, Alabama
125,1043,1006,979, Alabama
126,0,0,0, Alabama
127,0,0,1244, Alabama
128,0,1297,0, Alabama
129,0,1297,1244, Alabama
130,1259,0,0, Alabama
131,1259,0,1244, Alabama
132,1259,1297,0, Alabama
133,1259,1297,1244, Alabama
134,907,917,946, Alabama
135,0,0,0, Alabama
136,0,0,788, Alabama
137,0,822,0, Alabama
138,0,822,788, Alabama
139,863,0,0, Alabama
140,863,0,788, Alabama
141,863,822,0, Alabama
142,863,822,788, Alabama
143,659,592,736, Alabama
144,749,718,777, Alabama
145,742,844,774, Alabama
146,0,0,0, Alabama
147,0,0,2686, Alabama
148,0,2523,0, Alabama
149,0,2523,2686, Alabama
150,2971,0,0, Alabama
151,2971,0,2686, Alabama
152,2971,2523,0, Alabama
153,2971,2523,2686, Alabama
154,0,0,0, Alabama
155,0,0,1201, Alabama
156,0,1043,0, Alabama
157,0,1043,1201, Alabama
158,1025,0,0, Alabama
159,1025,0,1201, Alabama
160,1025,1043,0, Alabama
161,1025,1043,1201, Alabama
162,0,0,0, Alabama
163,0,0,868, Alabama
164,0,986,0, Alabama
165,0,986,868, Alabama
166,1160,0,0, Alabama
167,1160,0,868, Alabama
168,1160,986,0, Alabama
169,1160,986,868, Alabama
170,727,701,709, Alabama
171,0,3551,2984, Alabama
172,936,900,883, Alabama
173,1031,1408,1295, Alabama
174,1031,1408,1319, Alabama
175,1031,1289,1295, Alabama
176,1031,1289,1319, Alabama
177,1278,1408,1295, Alabama
178,1278,1408,1319, Alabama
179,1278,1289,1295, Alabama
180,1278,1289,1319, Alabama
181,1220,1141,1290, Alabama
182,602,672,530, Alabama
183,602,672,0, Alabama
184,602,672,1465, Alabama
185,602,0,530, Alabama
186,602,0,0, Alabama
187,602,0,1465, Alabama
188,602,1473,530, Alabama
189,602,1473,0, Alabama
190,602,1473,1465, Alabama
191,0,672,530, Alabama
192,0,672,0, Alabama
193,0,672,1465, Alabama
194,0,0,530, Alabama
195,0,0,0, Alabama
196,0,0,1465, Alabama
197,0,1473,530, Alabama
198,0,1473,0, Alabama
199,0,1473,1465, Alabama
200,1457,672,530, Alabama
201,1457,672,0, Alabama
202,1457,672,1465, Alabama
203,1457,0,530, Alabama
204,1457,0,0, Alabama
205,1457,0,1465, Alabama
206,1457,1473,530, Alabama
207,1457,1473,0, Alabama
208,1457,1473,1465, Alabama
209,932,1008,941, Alabama
210,1289,1485,1290, Alabama
211,1914,1406,1548, Alabama
212,0,0,0, Alabama
213,0,0,1507, Alabama
214,0,1476,0, Alabama
215,0,1476,1507, Alabama
216,1455,0,0, Alabama
217,1455,0,1507, Alabama
218,1455,1476,0, Alabama
219,1455,1476,1507, Alabama
220,0,0,0, Alabama
221,0,0,965, Alabama
222,0,943,0, Alabama
223,0,943,965, Alabama
224,1148,0,0, Alabama
225,1148,0,965, Alabama
226,1148,943,0, Alabama
227,1148,943,965, Alabama
228,0,0,0, Alabama
229,0,0,972, Alabama
230,0,1016,0, Alabama
231,0,1016,972, Alabama
232,1188,0,0, Alabama
233,1188,0,972, Alabama
234,1188,1016,0, Alabama
235,1188,1016,972, Alabama
236,1149,1209,1217, Alabama
237,0,0,0, Alabama
238,0,0,0, Alabama
239,0,0,0, Alabama
240,0,0,1082, Alabama
241,0,1054,0, Alabama
242,0,1054,1082, Alabama
243,1032,0,0, Alabama
244,1032,0,1082, Alabama
245,1032,1054,0, Alabama
246,1032,1054,1082, Alabama
247,2181,2006,1953, Alabama
248,0,0,0, Alabama
249,0,0,1061, Alabama
250,0,1083,0, Alabama
251,0,1083,1061, Alabama
252,1166,0,0, Alabama
253,1166,0,1061, Alabama
254,1166,1083,0, Alabama
255,1166,1083,1061, Alabama
256,0,0,0, Alabama
257,0,0,2657, Alabama
258,0,2472,0, Alabama
259,0,2472,2657, Alabama
260,3336,0,0, Alabama
261,3336,0,2657, Alabama
262,3336,2472,0, Alabama
263,3336,2472,2657, Alabama
264,1270,1759,1602, Alabama
265,1270,1759,0, Alabama
266,1270,1759,1515, Alabama
267,1270,0,1602, Alabama
268,1270,0,0, Alabama
269,1270,0,1515, Alabama
270,1270,1640,1602, Alabama
271,1270,1640,0, Alabama
272,1270,1640,1515, Alabama
273,0,1759,1602, Alabama
274,0,1759,0, Alabama
275,0,1759,1515, Alabama
276,0,0,1602, Alabama
277,0,0,0, Alabama
278,0,0,1515, Alabama
279,0,1640,1602, Alabama
280,0,1640,0, Alabama
281,0,1640,1515, Alabama
282,1670,1759,1602, Alabama
283,1670,1759,0, Alabama
284,1670,1759,1515, Alabama
285,1670,0,1602, Alabama
286,1670,0,0, Alabama
287,1670,0,1515, Alabama
288,1670,1640,1602, Alabama
289,1670,1640,0, Alabama
290,1670,1640,1515, Alabama
291,1121,968,1445, Alabama
292,0,0,0, Alabama
293,0,0,866, Alabama
294,0,868,0, Alabama
295,0,868,866, Alabama
296,923,0,0, Alabama
297,923,0,866, Alabama
298,923,868,0, Alabama
299,923,868,866, Alabama
300,1106,1209,1059, Alabama
301,0,0,0, Alabama
302,0,0,1891, Alabama
303,0,1941,0, Alabama
304,0,1941,1891, Alabama
305,2181,0,0, Alabama
306,2181,0,1891, Alabama
307,2181,1941,0, Alabama
308,2181,1941,1891, Alabama
309,0,0,0, Alabama
310,0,0,1308, Alabama
311,0,1261,0, Alabama
312,0,1261,1308, Alabama
313,1267,0,0, Alabama
314,1267,0,1308, Alabama
315,1267,1261,0, Alabama
316,1267,1261,1308, Alabama
317,0,0,0, Alabama
318,0,0,1088, Alabama
319,926,825,977, Alabama
320,926,825,1309, Alabama
321,926,825,719, Alabama
322,926,825,1753, Alabama
323,926,1537,977, Alabama
324,926,1537,1309, Alabama
325,926,1537,719, Alabama
326,926,1537,1753, Alabama
327,926,618,977, Alabama
328,926,618,1309, Alabama
329,926,618,719, Alabama
330,926,618,1753, Alabama
331,926,1882,977, Alabama
332,926,1882,1309, Alabama
333,926,1882,719, Alabama
334,926,1882,1753, Alabama
335,1125,825,977, Alabama
336,1125,825,1309, Alabama
337,1125,825,719, Alabama
338,1125,825,1753, Alabama
339,1125,1537,977, Alabama
340,1125,1537,1309, Alabama
341,1125,1537,719, Alabama
342,1125,1537,1753, Alabama
343,1125,618,977, Alabama
344,1125,618,1309, Alabama
345,1125,618,719, Alabama
346,1125,618,1753, Alabama
347,1125,1882,977, Alabama
348,1125,1882,1309, Alabama
349,1125,1882,719, Alabama
350,1125,1882,1753, Alabama
351,623,825,977, Alabama
352,623,825,1309, Alabama
353,623,825,719, Alabama
354,623,825,1753, Alabama
355,623,1537,977, Alabama
