,avg_wkly_wage_x,avg_wkly_wage_y,avg_wkly_wage,state
0,1721,2144,1763,Alabama 
1,1721,2144,1427,Alabama 
2,1721,2144,1413,Alabama 
3,1721,1349,1763,Alabama 
4,1721,1349,1427,Alabama 
5,1721,1349,1413,Alabama 
6,1721,1375,1763,Alabama 
7,1721,1375,1427,Alabama 
8,1721,1375,1413,Alabama 
9,1345,2144,1763,Alabama 
10,1345,2144,1427,Alabama 
11,1345,2144,1413,Alabama 
12,1345,1349,1763,Alabama 
13,1345,1349,1427,Alabama 
14,1345,1349,1413,Alabama 
15,1345,1375,1763,Alabama 
16,1345,1375,1427,Alabama 
17,1345,1375,1413,Alabama 
18,1451,2144,1763,Alabama 
19,1451,2144,1427,Alabama 
20,1451,2144,1413,Alabama 
21,1451,1349,1763,Alabama 
22,1451,1349,1427,Alabama 
23,1451,1349,1413,Alabama 
24,1451,1375,1763,Alabama 
25,1451,1375,1427,Alabama 
26,1451,1375,1413,Alabama 
27,0,0,0, Alabama
28,0,0,1143, Alabama
29,0,1178,0, Alabama
30,0,1178,1143, Alabama
31,1151,0,0, Alabama
32,1151,0,1143, Alabama
33,1151,1178,0, Alabama
34,1151,1178,1143, Alabama
35,0,1986,2067, Alabama
36,0,1986,1107, Alabama
37,0,1068,2067, Alabama
38,0,1068,1107, Alabama
39,1075,1986,2067, Alabama
40,1075,1986,1107, Alabama
41,1075,1068,2067, Alabama
42,1075,1068,1107, Alabama
43,1594,2395,1507, Alabama
44,1594,2395,718, Alabama
45,1594,748,1507, Alabama
46,1594,748,718, Alabama
47,712,2395,1507, Alabama
48,712,2395,718, Alabama
49,712,748,1507, Alabama
50,712,748,718, Alabama
51,1137,1213,1002, Alabama
52,1075,1107,1122, Alabama
53,1294,1284,1336, Alabama
54,754,811,815, Alabama
55,1627,1868,1648, Alabama
56,1627,1868,0, Alabama
57,1627,1868,918, Alabama
58,1627,0,1648, Alabama
59,1627,0,0, Alabama
60,1627,0,918, Alabama
61,1627,896,1648, Alabama
62,1627,896,0, Alabama
63,1627,896,918, Alabama
64,0,1868,1648, Alabama
65,0,1868,0, Alabama
66,0,1868,918, Alabama
67,0,0,1648, Alabama
68,0,0,0, Alabama
69,0,0,918, Alabama
70,0,896,1648, Alabama
71,0,896,0, Alabama
72,0,896,918, Alabama
73,897,1868,1648, Alabama
74,897,1868,0, Alabama
75,897,1868,918, Alabama
76,897,0,1648, Alabama
77,897,0,0, Alabama
78,897,0,918, Alabama
79,897,896,1648, Alabama
80,897,896,0, Alabama
81,897,896,918, Alabama
82,0,0,0, Alabama
83,0,0,799, Alabama
84,0,770,0, Alabama
85,0,770,799, Alabama
86,838,0,0, Alabama
87,838,0,799, Alabama
88,838,770,0, Alabama
89,838,770,799, Alabama
90,922,947,939, Alabama
91,0,0,0, Alabama
92,0,0,783, Alabama
93,0,815,0, Alabama
94,0,815,783, Alabama
95,766,0,0, Alabama
96,766,0,783, Alabama
97,766,815,0, Alabama
98,766,815,783, Alabama
99,1027,1026,981, Alabama
100,1948,2080,1963, Alabama
101,1948,2080,874, Alabama
102,1948,872,1963, Alabama
103,1948,872,874, Alabama
104,802,2080,1963, Alabama
105,802,2080,874, Alabama
106,802,872,1963, Alabama
107,802,872,874, Alabama
108,0,0,0, Alabama
109,0,0,883, Alabama
110,0,753,0, Alabama
111,0,753,883, Alabama
112,859,0,0, Alabama
113,859,0,883, Alabama
114,859,753,0, Alabama
115,859,753,883, Alabama
116,883,1022,1052, Alabama
117,0,0,0, Alabama
118,0,0,1043, Alabama
119,0,987,0, Alabama
120,0,987,1043, Alabama
121,979,0,0, Alabama
122,979,0,1043, Alabama
