"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1022","53","0","2024","1","",2,9,9,10,89905,0,0,741,"",1.03,0.10,0.10,0.11,0.06,0.00,0.00,0.54,"",0,0.0,-1,-10.0,-2,-18.2,-1,-9.1,1462,1.7,0,0.0,0,0.0,103,16.1
"01000","2","1022","53","0","2024","1","",9,83,83,84,1313887,0,0,1213,"",2.21,0.99,0.98,0.98,1.32,0.00,0.00,1.35,"",0,0.0,3,3.8,5,6.4,5,6.3,-175032,-11.8,0,0.0,0,0.0,-237,-16.3
"01000","3","1022","53","0","2024","1","",51,659,659,663,5305370,378999,1526,618,"",0.74,0.39,0.39,0.39,0.37,0.31,0.68,0.96,"",-1,-1.9,-16,-2.4,-14,-2.1,-16,-2.4,253995,5.0,19335,5.4,-434,-22.1,43,7.5
"01000","5","1022","53","0","2024","1","",4989,22884,22786,22824,508967875,171623119,928906,1715,"",1.27,0.58,0.57,0.57,0.35,0.43,0.45,0.60,"",194,4.0,-536,-2.3,-659,-2.8,-497,-2.1,11323086,2.3,-5365868,-3.0,-428334,-31.6,79,4.8
"01001","3","1022","73","0","2024","1","N",1,0,0,0,0,0,0,0,"N",2.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1022","73","0","2024","1","",20,40,40,36,823560,299935,1667,1638,"",0.73,0.17,0.17,0.16,0.12,0.15,0.15,0.70,"",3,17.6,-1,-2.4,1,2.6,-4,-10.0,-67013,-7.5,-34341,-10.3,-2234,-57.3,-75,-4.4
"01003","2","1022","73","0","2024","1","",1,1,1,1,9305,0,0,716,"",4.57,0.30,0.30,0.29,0.29,0.00,0.00,0.99,"",0,0.0,1,100.0,1,100.0,1,100.0,9305,100.0,0,0.0,0,0.0,716,100.0
"01003","3","1022","73","0","2024","1","N",2,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1022","73","0","2024","1","",198,633,632,632,12410889,4495359,43841,1510,"",0.94,0.41,0.40,0.39,0.26,0.28,0.52,0.66,"",20,11.2,84,15.3,83,15.1,83,15.1,2925615,30.8,658624,17.2,6043,16.0,181,13.6
"01005","5","1022","73","0","2024","1","N",1,0,0,0,0,0,0,0,"N",0.07,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
