"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1022","53","0","2024","2","",2,9,10,9,89464,0,0,737,"",1.01,0.10,0.11,0.10,0.05,0.00,0.00,0.44,"",0,0.0,-2,-18.2,-1,-9.1,-1,-10.0,-5126,-5.4,0,0.0,0,0.0,55,8.1
"01000","2","1022","53","0","2024","2","",9,49,48,49,1679054,0,0,2654,"",2.22,0.58,0.57,0.57,1.53,0.00,0.00,2.66,"",0,0.0,-31,-38.8,-30,-38.5,-30,-38.0,243769,17.0,0,0.0,0,0.0,1256,89.8
"01000","3","1022","53","0","2024","2","",51,659,670,673,5171358,121067,357,596,"",0.75,0.39,0.39,0.39,0.34,0.28,0.44,0.88,"",0,0.0,-9,-1.3,13,2.0,-19,-2.7,343686,7.1,-16972,-12.3,-380,-51.6,44,8.0
"01000","5","1022","53","0","2024","2","",5054,22868,22961,22899,480571868,18162167,130915,1614,"",1.28,0.58,0.58,0.58,0.36,0.36,0.41,0.62,"",196,4.0,-448,-1.9,-593,-2.5,-819,-3.5,4205645,0.9,-4456186,-19.7,-78608,-37.5,57,3.7
"01001","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",2.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1022","73","0","2024","2","",23,40,41,38,816917,44641,339,1584,"",0.84,0.17,0.18,0.16,0.12,0.16,0.21,0.72,"",3,15.0,-5,-11.1,-3,-6.8,-4,-9.5,-83102,-9.2,-22346,-33.4,-613,-64.4,-1,-0.1
"01003","2","1022","73","0","2024","2","",1,1,1,1,12713,0,0,978,"",4.55,0.29,0.29,0.28,0.34,0.00,0.00,1.18,"",0,0.0,0,0.0,0,0.0,0,0.0,2296,22.0,0,0.0,0,0.0,177,22.1
"01003","3","1022","73","0","2024","2","N",2,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1022","73","0","2024","2","",205,625,633,634,11515835,610988,5202,1405,"",0.96,0.39,0.39,0.39,0.25,0.23,0.31,0.65,"",25,13.9,84,15.5,75,13.4,67,11.8,2561441,28.6,-54222,-8.2,-785,-13.1,165,13.3
"01005","5","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",0.07,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",5.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","1022","73","0","2024","2","",6,12,12,11,121551,14705,207,801,"",0.55,0.13,0.13,0.12,0.05,0.17,0.38,0.36,"N",4,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","1022","73","0","2024","2","",13,57,57,58,873962,43678,88,1173,"",0.54,0.34,0.34,0.34,0.20,0.21,0.07,0.60,"",1,8.3,-13,-18.6,-15,-20.8,-2,-3.3,-104852,-10.7,7178,19.7,-139,-61.2,55,4.9
"01011","5","1022","73","0","2024","2","N",3,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",4.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1022","73","0","2024","2","",10,50,51,51,518763,34067,208,788,"",0.78,0.39,0.40,0.40,0.16,0.19,0.19,0.41,"",2,25.0,1,2.0,-1,-1.9,-4,-7.3,-47448,-8.4,-15213,-30.9,-165,-44.2,-50,-6.0
"01015","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",0.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","1022","73","0","2024","2","",49,279,281,280,3661040,219400,2370,1006,"",0.71,0.34,0.34,0.34,0.15,0.22,0.40,0.45,"",5,11.4,15,5.7,20,7.7,24,9.4,606742,19.9,-99591,-31.2,-1288,-35.2,104,11.5
"01017","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",3.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","1022","73","0","2024","2","",14,89,90,91,1517484,61750,410,1297,"",0.73,0.53,0.53,0.53,0.30,0.28,0.29,0.57,"",1,7.7,0,0.0,3,3.4,4,4.6,22841,1.5,10915,21.5,-230,-35.9,-14,-1.1
"01019","5","1022","73","0","2024","2","",9,40,38,38,461178,47310,716,917,"",0.74,0.40,0.37,0.38,0.19,0.32,0.85,0.49,"",0,0.0,-2,-4.8,-4,-9.5,-7,-15.6,-7450,-1.6,4078,9.4,385,116.3,79,9.4
"01021","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",2.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","1022","73","0","2024","2","",15,44,44,41,459226,58406,166,822,"",0.66,0.26,0.26,0.24,0.10,0.27,0.12,0.41,"",1,7.1,-7,-13.7,-11,-20.0,-11,-21.2,-161338,-26.0,-27446,-32.0,-580,-77.7,-84,-9.3
"01023","5","1022","73","0","2024","2","",3,13,13,13,100020,17413,185,592,"",0.34,0.21,0.21,0.21,0.05,0.25,0.43,0.22,"",0,0.0,-2,-13.3,-3,-18.8,-2,-13.3,-31128,-23.7,-12857,-42.5,-474,-71.9,-66,-10.0
"01025","5","1022","73","0","2024","2","",6,26,25,26,239542,52033,356,718,"",0.33,0.17,0.16,0.17,0.06,0.27,0.29,0.33,"",-1,-14.3,-3,-10.3,-5,-16.7,-4,-13.3,35234,17.2,4927,10.5,114,47.1,188,35.5
"01027","5","1022","73","0","2024","2","",5,17,17,17,186506,19054,38,844,"",0.81,0.21,0.21,0.21,0.09,0.21,0.08,0.44,"",-1,-16.7,-6,-26.1,-6,-26.1,-5,-22.7,-92390,-33.1,-15092,-44.2,-631,-94.3,-102,-10.8
"01029","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",8.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","1022","73","0","2024","2","",5,14,15,15,481111,10728,21,2523,"",0.71,0.27,0.30,0.30,0.31,0.17,0.05,1.08,"",0,0.0,2,16.7,2,15.4,2,15.4,165855,52.6,1051,10.9,-159,-88.3,608,31.7
"01031","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",1.72,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","1022","73","0","2024","2","",23,126,126,128,1716743,115579,532,1043,"",0.68,0.38,0.38,0.40,0.21,0.24,0.22,0.53,"",-3,-11.5,20,18.9,16,14.5,16,14.3,403404,30.7,-26126,-18.4,-87,-14.1,119,12.9
"01033","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",1.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","1022","73","0","2024","2","",26,120,116,117,1508940,129007,1156,986,"",0.65,0.26,0.25,0.25,0.10,0.23,0.32,0.40,"",3,13.0,-9,-7.0,-10,-7.9,7,6.4,9774,0.7,-52737,-29.0,-2457,-68.0,38,4.0
"01035","5","1022","73","0","2024","2","",4,14,14,13,124553,17652,197,701,"",0.56,0.23,0.23,0.21,0.07,0.20,0.42,0.33,"",-1,-20.0,-10,-41.7,-10,-41.7,-11,-45.8,-239464,-65.8,-9195,-34.2,-1,-0.5,-466,-39.9
"01037","5","1022","73","0","2024","2","",5,6,6,6,276943,45,0,3551,"",1.31,0.22,0.22,0.22,0.35,0.00,0.00,1.61,"",1,25.0,0,0.0,0,0.0,0,0.0,68712,33.0,-309,-87.3,-3,-100.0,881,33.0
"01039","5","1022","73","0","2024","2","",17,62,54,53,658916,63827,873,900,"",0.61,0.27,0.24,0.23,0.11,0.22,0.46,0.44,"",0,0.0,-2,-3.1,-11,-16.9,-13,-19.7,-109642,-14.3,-25100,-28.2,-538,-38.1,-10,-1.1
"01041","2","1022","73","0","2024","2","",1,2,2,2,36609,0,0,1408,"",135.68,14.50,14.45,14.17,24.87,0.00,0.00,1.73,"",0,0.0,0,0.0,0,0.0,0,0.0,7449,25.5,0,0.0,0,0.0,286,25.5
"01041","5","1022","73","0","2024","2","",3,18,18,18,301686,7210,15,1289,"",0.42,0.28,0.28,0.28,0.17,0.10,0.03,0.60,"",-1,-25.0,-5,-21.7,-5,-21.7,-4,-18.2,35990,13.5,-19127,-72.6,-612,-97.6,387,42.9
"01043","5","1022","73","0","2024","2","",25,177,175,172,2590382,133758,344,1141,"",0.44,0.30,0.30,0.29,0.16,0.17,0.08,0.53,"",-4,-13.8,4,2.3,-4,-2.2,-13,-7.0,256863,11.0,-48144,-26.5,-1006,-74.5,138,13.8
"01045","1","1022","73","0","2024","2","",1,5,6,5,46583,0,0,672,"",73.02,6.46,7.70,6.30,2.48,0.00,0.00,0.36,"",0,0.0,-2,-28.6,-1,-14.3,-1,-16.7,-9216,-16.5,0,0.0,0,0.0,28,4.3
"01045","3","1022","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",2.12,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","1022","73","0","2024","2","",18,117,117,114,2220832,57826,657,1473,"",0.66,0.34,0.34,0.33,0.17,0.19,0.30,0.51,"",0,0.0,-8,-6.4,-13,-10.0,-14,-10.9,41054,1.9,-66937,-53.7,-22,-3.2,160,12.2
"01047","5","1022","73","0","2024","2","",12,58,57,57,751254,52748,332,1008,"",0.50,0.27,0.27,0.27,0.13,0.19,0.13,0.47,"",0,0.0,-7,-10.8,-10,-14.9,-14,-19.7,-159990,-17.6,-9580,-15.4,-278,-45.6,-28,-2.7
