"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1022","53","0","2024","3","",2,10,10,10,92113,0,0,709,"",1.00,0.11,0.11,0.11,0.05,0.00,0.00,0.43,"",0,0.0,0,0.0,-1,-9.1,0,0.0,-12101,-11.6,0,0.0,0,0.0,-67,-8.6
"01000","2","1022","53","0","2024","3","",9,85,85,84,1611925,0,0,1464,"",2.23,0.98,0.99,0.99,1.40,0.00,0.00,1.42,"",0,0.0,7,9.0,5,6.2,2,2.4,360453,28.8,0,0.0,0,0.0,261,21.7
"01000","3","1022","53","0","2024","3","",51,683,667,658,5518307,66434,168,634,"",0.74,0.39,0.39,0.39,0.35,0.18,0.27,0.91,"",0,0.0,-11,-1.6,-15,-2.2,-10,-1.5,351857,6.8,4143,6.7,-82,-32.8,51,8.7
"01000","5","1022","53","0","2024","3","",5042,22853,22826,22505,461314142,15118863,114560,1561,"",1.27,0.58,0.58,0.58,0.33,0.48,0.49,0.58,"",183,3.8,-607,-2.6,-508,-2.2,-585,-2.5,-8287770,-1.8,-3241196,-17.7,-79383,-40.9,10,0.6
"01001","3","1022","73","0","2024","3","N",1,0,0,0,0,0,0,0,"N",2.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1022","73","0","2024","3","",22,30,30,28,683307,13587,60,1792,"",0.80,0.13,0.13,0.12,0.10,0.08,0.05,0.83,"",2,10.0,-13,-30.2,-14,-31.8,-15,-34.9,-248302,-26.7,-18717,-57.9,-350,-85.4,138,8.3
"01003","2","1022","73","0","2024","3","",1,1,1,1,11166,0,0,859,"",4.55,0.28,0.28,0.29,0.28,0.00,0.00,1.00,"",0,0.0,0,0.0,0,0.0,0,0.0,2485,28.6,0,0.0,0,0.0,191,28.6
"01003","3","1022","73","0","2024","3","N",2,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1022","73","0","2024","3","",207,630,635,623,11542925,545501,5180,1411,"",0.96,0.38,0.39,0.40,0.24,0.34,0.45,0.62,"N",24,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","1022","73","0","2024","3","N",1,0,0,0,0,0,0,0,"N",0.07,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
