"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1024","53","0","2024","2","",44,1905,1905,1907,53111607,0,0,2144,"",2.17,1.94,1.94,1.92,2.54,0.00,0.00,1.31,"",1,2.3,-4,-0.2,0,0.0,11,0.6,-920356,-1.7,0,0.0,0,0.0,-40,-1.8
"01000","3","1024","53","0","2024","2","",167,1618,1603,1634,28386668,709351,11899,1349,"",2.62,1.20,1.18,1.19,1.55,1.72,7.92,1.30,"",51,44.0,417,34.7,398,33.0,396,32.0,8860041,45.4,133132,23.1,3631,43.9,112,9.1
"01000","5","1024","53","0","2024","2","",31427,266050,266264,264849,4748856793,447439761,2808119,1375,"",0.93,0.87,0.87,0.87,0.76,0.99,1.01,0.88,"",1807,6.1,-2047,-0.8,-1043,-0.4,-3462,-1.3,177518531,3.9,-39998327,-8.2,-1214757,-30.2,62,4.7
"01001","3","1024","73","0","2024","2","N",1,0,0,0,0,0,0,0,"N",2.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1024","73","0","2024","2","",166,681,691,689,10518088,1002219,6729,1178,"",0.71,0.38,0.38,0.38,0.34,0.40,0.48,0.90,"",10,6.4,-60,-8.1,-56,-7.5,-49,-6.6,-1610389,-13.3,24907,2.5,-1223,-15.4,-79,-6.3
"01003","3","1024","73","0","2024","2","",4,3,3,3,77442,8000,216,1986,"",1.16,0.05,0.05,0.05,0.12,0.36,2.68,2.31,"N",3,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1024","73","0","2024","2","",1609,7598,7682,7800,106845836,14460856,102973,1068,"",0.88,0.61,0.61,0.62,0.50,0.60,0.69,0.82,"",160,11.0,205,2.8,135,1.8,22,0.3,9459050,9.7,-181003,-1.2,-15070,-12.8,79,8.0
"01005","1","1024","73","0","2024","2","",1,5,5,5,155669,0,0,2395,"",13.33,1.39,1.38,1.36,2.75,0.00,0.00,2.00,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-9686,-5.9,0,0.0,0,0.0,275,13.0
"01005","5","1024","73","0","2024","2","",51,334,329,330,3219325,905666,12826,748,"",0.41,0.30,0.29,0.29,0.19,0.50,1.06,0.65,"",-2,-3.8,-140,-29.5,-80,-19.6,-77,-18.9,-169713,-5.0,-836192,-48.0,-17884,-58.2,142,23.4
"01007","5","1024","73","0","2024","2","",44,112,110,115,1770748,180754,2125,1213,"",0.48,0.16,0.16,0.17,0.15,0.23,0.44,0.91,"",1,2.3,-21,-15.8,-22,-16.7,-19,-14.2,67662,4.0,-6529,-3.5,252,13.5,228,23.1
"01009","5","1024","73","0","2024","2","",107,424,415,409,5986414,596621,4650,1107,"",0.53,0.32,0.32,0.31,0.30,0.32,0.43,0.94,"",3,2.9,-62,-12.8,-62,-13.0,-57,-12.2,-324192,-5.1,-108634,-15.4,-1584,-25.4,88,8.6
"01011","5","1024","73","0","2024","2","",14,234,238,236,3938409,228228,558,1284,"",0.34,0.56,0.58,0.59,0.57,0.40,0.14,0.98,"",4,40.0,1,0.4,4,1.7,9,4.0,722265,22.5,-62802,-21.6,-4307,-88.5,215,20.1
"01013","5","1024","73","0","2024","2","",47,645,649,671,6906355,1821791,7227,811,"",0.43,0.66,0.66,0.68,0.47,1.13,0.75,0.70,"",-3,-6.0,-178,-21.6,-206,-24.1,-113,-14.4,-1278905,-15.6,-1108796,-37.8,-24018,-76.9,44,5.7
"01015","1","1024","73","0","2024","2","",5,36,35,34,849955,0,0,1868,"",14.10,1.76,1.71,1.64,2.30,0.00,0.00,1.35,"",0,0.0,-5,-12.2,-6,-14.6,-6,-15.0,-61876,-6.8,0,0.0,0,0.0,143,8.3
"01015","3","1024","73","0","2024","2","N",4,0,0,0,0,0,0,0,"N",3.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
