"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1024","53","0","2024","3","",44,1891,1892,1880,43275174,0,0,1763,"",2.18,1.89,1.90,1.90,1.97,0.00,0.00,1.04,"",1,2.3,-23,-1.2,-33,-1.7,-49,-2.5,-3537064,-7.6,0,0.0,0,0.0,-110,-5.9
"01000","3","1024","53","0","2024","3","",168,1617,1620,1631,30102816,690270,9446,1427,"",2.64,1.21,1.20,1.22,1.57,2.15,6.21,1.30,"",40,31.2,393,32.1,380,30.6,395,32.0,8603521,40.0,95952,16.1,-762,-7.5,86,6.4
"01000","5","1024","53","0","2024","3","",31551,260280,262214,260626,4796120427,352210567,2357200,1413,"",0.93,0.85,0.86,0.86,0.77,1.08,1.08,0.90,"",1672,5.6,-5979,-2.2,-5769,-2.2,-6592,-2.5,139837421,3.0,-42844129,-10.8,-897872,-27.6,72,5.4
"01001","3","1024","73","0","2024","3","N",1,0,0,0,0,0,0,0,"N",2.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1024","73","0","2024","3","",167,693,695,691,10295569,796443,4480,1143,"",0.71,0.39,0.38,0.38,0.35,0.43,0.38,0.91,"",4,2.5,-48,-6.5,-56,-7.5,-54,-7.2,-2209926,-17.7,-73534,-8.5,-3418,-43.3,-147,-11.4
"01003","3","1024","73","0","2024","3","",4,3,3,3,80621,0,0,2067,"",1.15,0.05,0.05,0.06,0.12,0.00,0.00,2.25,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1024","73","0","2024","3","",1625,7884,7746,7481,110842316,10574839,69462,1107,"",0.88,0.62,0.62,0.61,0.52,0.62,0.64,0.85,"",143,9.6,124,1.6,15,0.2,179,2.5,7020100,6.8,-73179,-0.7,-20213,-22.5,56,5.3
"01005","1","1024","73","0","2024","3","",1,5,5,6,104462,0,0,1507,"",13.55,1.34,1.36,1.65,1.71,0.00,0.00,1.18,"",0,0.0,-1,-16.7,-1,-16.7,0,0.0,-33158,-24.1,0,0.0,0,0.0,-257,-14.6
"01005","5","1024","73","0","2024","3","",51,315,318,319,2961990,705625,9100,718,"",0.41,0.28,0.28,0.28,0.17,0.56,1.03,0.61,"",1,2.0,-49,-13.5,-53,-14.3,-65,-16.9,-132721,-4.3,-194174,-21.6,-5043,-35.7,80,12.5
"01007","5","1024","73","0","2024","3","",43,117,120,114,1523891,134599,970,1002,"",0.46,0.17,0.17,0.16,0.13,0.20,0.20,0.75,"",-1,-2.3,-7,-5.6,1,0.8,-3,-2.6,-38858,-2.5,21987,19.5,-480,-33.1,0,0.0
