,state,q1,q2,q3
0,Alabama,1471.5,1498.0,1465.0
1,Alaska,1737.25,1634.0,1529.25
2,Arizona,1412.0,1257.75,1425.75
3,Arkansas,1077.5,1050.0,1065.0
4,California,1751.25,1531.25,1650.5
5,Colorado,1465.0,1471.0,1429.5
6,Connecticut,1958.0,2197.0,2180.25
7,Delaware,2365.0,2160.0,4527.0
8,Florida,1964.0,1778.0,1868.0
9,Georgia,1250.0,1193.0,1235.0
10,Hawaii,2852.0,2364.0,2749.5
11,Idaho,1227.0,1323.0,1258.0
12,Illinois,1224.25,1170.0,1165.0
13,Indiana,978.5,947.5,951.75
14,Iowa,1433.0,1383.0,1397.5
15,Kansas,1061.25,1066.5,1059.0
16,Kentucky,1567.0,1446.5,1495.0
17,Louisiana,1520.0,1376.75,1346.5
18,Maine,1423.0,1330.0,1317.0
19,Maryland,2143.0,1964.75,2103.0
20,Massachusetts,2341.5,2358.0,2380.75
21,Michigan,1424.5,1339.0,1340.5
22,Minnesota,1309.0,1242.5,1298.0
23,Mississippi,930.0,936.0,916.5
24,Missouri,979.0,919.5,977.0
25,Montana,1506.0,1438.25,1492.0
26,Nebraska,1170.25,1253.5,1221.5
27,Nevada,2435.0,2146.5,1997.5
28,New Hampshire,2507.0,2633.0,3081.0
29,New Jersey,2636.5,2322.5,2395.25
30,New Mexico,1189.0,1126.0,1172.0
31,New York,1770.0,1669.0,1708.5
32,North Carolina,1569.0,1506.5,1521.0
33,North Dakota,1329.0,1304.0,1330.0
34,Ohio,1288.75,1258.5,1233.5
35,Oklahoma,1259.0,1302.75,1237.25
36,Oregon,2010.75,2151.0,1893.0
37,Pennsylvania,1378.5,1439.0,1303.5
38,Puerto Rico,847.5,931.25,934.0
39,Rhode Island,2717.75,2335.0,2270.5
40,South Carolina,1928.0,1578.0,1650.5
41,South Dakota,1359.25,1336.5,1364.0
42,Tennessee,1662.5,1605.5,1583.5
43,Texas,1565.25,1477.0,1470.75
44,U.S.,2203.75,2310.25,2271.75
45,Utah,1140.75,1186.0,1093.0
46,Vermont,1873.5,1708.0,1730.5
47,Virgin Islands,795.0,1339.0,1233.5
48,Virginia,1592.0,1492.25,1530.5
49,Washington,1897.5,1770.25,1760.0
50,West Virginia,1418.0,1368.0,1403.25
51,Wisconsin,1433.0,1311.0,1370.75
52,Wyoming,1358.5,1419.0,1477.0
53,not unknown,4643.0,3571.0,4058.0
