,state,q1,q2,q3
0,Alabama,1498.5,1528.0,1508.5
1,Alaska,2062.75,2408.0,1992.0
2,Arizona,1696.0,1584.0,1706.25
3,Arkansas,1128.0,1138.5,1089.0
4,California,2027.0,1839.0,1961.0
5,Colorado,2076.0,1892.0,2305.0
6,Connecticut,2141.5,2091.0,2033.0
7,Delaware,2110.0,2034.0,2022.0
8,District of Columbia,,,
9,Florida,1781.0,1730.5,1696.0
10,Georgia,1344.0,1259.0,1303.0
11,Hawaii,2227.0,1951.0,2291.0
12,Idaho,1770.0,1600.0,1720.0
13,Illinois,1392.5,1454.0,1377.0
14,Indiana,1372.0,1333.0,1373.25
15,Iowa,1387.0,1397.75,1336.25
16,Kansas,1397.0,1288.0,1394.25
17,Kentucky,1299.25,1272.5,1268.5
18,Louisiana,1442.0,1412.0,1411.0
19,Maine,1782.0,1601.0,1639.0
20,Maryland,2238.0,2107.0,2140.5
21,Massachusetts,2248.0,2415.25,2513.5
22,Michigan,1399.5,1333.5,1268.0
23,Minnesota,1498.25,1565.0,1460.5
24,Mississippi,1115.0,1071.0,1092.0
25,Missouri,1289.5,1298.5,1232.25
26,Montana,1778.25,1702.5,1604.0
27,Nebraska,1294.0,1190.0,1183.5
28,Nevada,1954.75,1743.0,1809.5
29,New Hampshire,1952.0,2005.0,1940.0
30,New Jersey,2218.75,2003.0,1968.25
31,New Mexico,1224.0,1196.5,1195.0
32,New York,1777.0,1786.0,1643.75
33,North Carolina,1259.0,1263.75,1254.0
34,North Dakota,1640.0,1603.0,1574.5
35,Ohio,1352.25,1360.25,1326.5
36,Oklahoma,1282.5,1307.0,1291.0
37,Oregon,1812.5,1696.0,1757.0
38,Pennsylvania,1552.5,1422.0,1467.5
39,Puerto Rico,808.5,827.0,834.0
40,Rhode Island,2054.25,1801.75,1689.25
41,South Carolina,1472.75,1476.25,1452.0
42,South Dakota,1556.25,1418.0,1463.0
43,Tennessee,1432.25,1368.5,1451.5
44,Texas,1519.5,1491.0,1485.25
45,U.S.,1978.75,1910.75,1899.0
46,Utah,1400.75,1336.0,1375.5
47,Vermont,1959.5,1834.0,1818.0
48,Virgin Islands,1248.5,1147.25,1110.0
49,Virginia,1521.5,1502.0,1582.0
50,Washington,2017.0,1906.0,1933.0
51,West Virginia,1209.0,1254.5,1239.25
52,Wisconsin,1558.75,1416.0,1380.0
53,Wyoming,1631.5,1712.0,1803.0
54,not unknown,3109.0,2753.0,2726.0
