jobid,company_name,date_posted_parsed,job_title,description_text,benefits,qualifications,job_type,location,salary_formatted,company_rating,company_reviews_count,country,date_posted,description,region,company_link,company_website,domain,apply_link,srcname,url,is_expired,discovery_input
   Pay is based on several factors which vary based on position. These include labor markets and in some instances may include education, work experience and certifications. In addition to your pay, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Target offers eligible team members and their dependents comprehensive health benefits and programs, which may include medical, vision, dental, life insurance and more, to help you and your family take care of your whole selves. Other benefits for eligible team members include 401(k), employee discount, short term disability, long term disability, paid sick leave, paid national holidays, and paid vacation. Find competitive benefits from financial and education to well-being and beyond at https://corporate.target.com/careers/benefits.   ALL ABOUT TARGET  As a Fortune 50 company with more than 400,000 team members worldwide, Target is an iconic brand and one of America's leading retailers.   Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It's how we care
   Pay is based on several factors which vary based on position. These include labor markets and in some instances may include education, work experience and certifications. In addition to your pay, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Target offers eligible team members and their dependents comprehensive health benefits and programs, which may include medical, vision, dental, life insurance and more, to help you and your family take care of your whole selves. Other benefits for eligible team members include 401(k), employee discount, short term disability, long term disability, paid sick leave, paid national holidays, and paid vacation. Find competitive benefits from financial and education to well-being and beyond at https://corporate.target.com/careers/benefits.   ALL ABOUT TARGET  As a Fortune 50 company with more than 400,000 team members worldwide, Target is an iconic brand and one of America's leading retailers.   Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It's how we care
          The Opportunity:          Are you an expert in user interface (UI) development looking to design and implement highly scalable, durable, and secure web-based applications and services? Are you looking to apply advanced consulting skills and extensive technical expertise? Are you looking to develop innovative solutions and complex problems? We are looking for someone like you to help our clients meet their mission by changing the face of healthcare.                   In this role, you’ll manage the delivery of the most advanced digital solutions. You’ll work directly with clients on an external client portal. You’ll move quickly in a fast-paced and fluid environment.                   Ready to transform the future of digital platforms?                   Join us. The world can’t wait.                   You Have:                    5+ years of experience with web application development, including editing HTML and CSS by hand           Experience with front-end JavaScript development frameworks and libraries, including Angular, react.js, node.js, or jquery           Experience with creating seamless user interfaces that integrate a composite of COTS and custom code           Knowledge of estimation techniques           Knowledge of front-end design patterns, including responsive design and how to discuss the trade-offs of each approach           Ability to perform requirement analyses           Ability to develop high-quality and detailed designs           Ability to conduct unit testing using automated unit test frameworks           Ability to obtain and maintain a Public Trust or Suitability/Fitness determination based on client requirements           Bachelor's degree                            Nice If You Have:                    Experience working with UX designers           Experience working in or with cross-functional teams           Experience with Pega           Experience leading a team           Knowledge of Section 508 best practices           Knowledge of user interface best practices           Ability to identify risk and conduct mitigation action planning and configuration of your own work           Ability to diagnose and troubleshoot performance issues and optimize web applications           Ability to review the work of other developers, provide feedback, and use coding standards and best practices to ensure quality                            Vetting:          Applicants selected will be subject to a government investigation and may need to meet eligibility requirements of the U.S. government client.                   Create Your Career:                   Grow With Us          Your growth matters to us—that’s why we offer a variety of ways for you to develop your career. With professional and leadership development opportunities like upskilling programs, tuition reimbursement, mentoring, and firm-sponsored networking, you can chart a unique and fulfilling career path on your own terms.                   A Place Where You Belong          Diverse perspectives cultivate collective ingenuity. Booz Allen’s culture of respect, equity, and opportunity means that, here, you are free to bring your whole self to work. With an array of business resource groups and other opportunities for connection, you’ll develop your community in no time.                   Support Your Well-Being          Our comprehensive benefits package includes wellness programs with HSA contributions, paid holidays, paid parental leave, a generous 401(k) match
                   Work Model Our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely.                    If this position is listed as remote or hybrid, you’ll periodically work from a Booz Allen or client site facility.           If this position is listed as onsite, you’ll work with colleagues and clients in person, as needed for the specific role.                            EEO Commitment          We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state
          The Opportunity:          Are you an expert in user interface (UI) development looking to design and implement highly scalable, durable, and secure web-based applications and services? Are you looking to apply advanced consulting skills and extensive technical expertise? Are you looking to develop innovative solutions and complex problems? We are looking for someone like you to help our clients meet their mission by changing the face of healthcare.                   In this role, you’ll manage the delivery of the most advanced digital solutions. You’ll work directly with clients on an external client portal. You’ll move quickly in a fast-paced and fluid environment.                   Ready to transform the future of digital platforms?                   Join us. The world can’t wait.                   You Have:                    5+ years of experience with web application development, including editing HTML and CSS by hand           Experience with front-end JavaScript development frameworks and libraries, including Angular, react.js, node.js, or jquery           Experience with creating seamless user interfaces that integrate a composite of COTS and custom code           Knowledge of estimation techniques           Knowledge of front-end design patterns, including responsive design and how to discuss the trade-offs of each approach           Ability to perform requirement analyses           Ability to develop high-quality and detailed designs           Ability to conduct unit testing using automated unit test frameworks           Ability to obtain and maintain a Public Trust or Suitability/Fitness determination based on client requirements           Bachelor's degree                            Nice If You Have:                    Experience working with UX designers           Experience working in or with cross-functional teams           Experience with Pega           Experience leading a team           Knowledge of Section 508 best practices           Knowledge of user interface best practices           Ability to identify risk and conduct mitigation action planning and configuration of your own work           Ability to diagnose and troubleshoot performance issues and optimize web applications           Ability to review the work of other developers, provide feedback, and use coding standards and best practices to ensure quality                            Vetting:          Applicants selected will be subject to a government investigation and may need to meet eligibility requirements of the U.S. government client.                   Create Your Career:                   Grow With Us          Your growth matters to us—that’s why we offer a variety of ways for you to develop your career. With professional and leadership development opportunities like upskilling programs, tuition reimbursement, mentoring, and firm-sponsored networking, you can chart a unique and fulfilling career path on your own terms.                   A Place Where You Belong          Diverse perspectives cultivate collective ingenuity. Booz Allen’s culture of respect, equity, and opportunity means that, here, you are free to bring your whole self to work. With an array of business resource groups and other opportunities for connection, you’ll develop your community in no time.                   Support Your Well-Being          Our comprehensive benefits package includes wellness programs with HSA contributions, paid holidays, paid parental leave, a generous 401(k) match
                   Work Model Our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely.                    If this position is listed as remote or hybrid, you’ll periodically work from a Booz Allen or client site facility.           If this position is listed as onsite, you’ll work with colleagues and clients in person, as needed for the specific role.                            EEO Commitment          We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state
     6 months of sales experience identifying and selling products based on customer needs, including credit cards, installations, add-on sales, and explaining warranties, product features, and benefits.   6 months of retail experience providing customer service, including identifying and resolving customer issues, assisting customers in locating product, greeting customers, answering phones, building relationships with customers, and thanking customers for their business.   Bi-lingual skills, if applicable to the store.   Certification in trade related to department (e.g., hardware, kitchen, plumbing, electrical, lawn and garden, and lumber/building materials).     EEO Statement Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender
     6 months of sales experience identifying and selling products based on customer needs, including credit cards, installations, add-on sales, and explaining warranties, product features, and benefits.   6 months of retail experience providing customer service, including identifying and resolving customer issues, assisting customers in locating product, greeting customers, answering phones, building relationships with customers, and thanking customers for their business.   Bi-lingual skills, if applicable to the store.   Certification in trade related to department (e.g., hardware, kitchen, plumbing, electrical, lawn and garden, and lumber/building materials).     EEO Statement Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender
      TLD provides equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. Further, TLD takes affirmative action to ensure that applicants are employed and employees are treated during employment without regard to any of these characteristics. All recruiting, hiring, training, promotion, compensation, and other employment related programs are provided fairly to all persons on an equal opportunity basis without regard to race, creed, color, religion, sex, age
      TLD provides equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. Further, TLD takes affirmative action to ensure that applicants are employed and employees are treated during employment without regard to any of these characteristics. All recruiting, hiring, training, promotion, compensation, and other employment related programs are provided fairly to all persons on an equal opportunity basis without regard to race, creed, color, religion, sex, age
