"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1024","53","0","2024","1","",44,1907,1900,1901,42578068,0,0,1721,"",2.15,1.96,1.94,1.94,2.20,0.00,0.00,1.13,"",1,2.3,-22,-1.1,-20,-1.0,-15,-0.8,-1767588,-4.0,0,0.0,0,0.0,-54,-3.0
"01000","3","1024","53","0","2024","1","",160,1537,1570,1579,27314826,5468765,70090,1345,"",2.50,1.17,1.18,1.18,1.57,2.58,7.53,1.33,"",42,35.6,340,28.4,363,30.1,367,30.3,7902361,40.7,2796964,104.7,44056,169.2,106,8.6
"01000","5","1024","53","0","2024","1","",31043,262486,265810,264759,4985672552,1965768239,9878738,1451,"",0.92,0.87,0.87,0.87,0.77,0.81,0.84,0.88,"",1992,6.9,-2073,-0.8,-2040,-0.8,-2275,-0.9,215061339,4.5,-4614809,-0.2,-2593819,-20.8,74,5.4
"01001","3","1024","73","0","2024","1","N",1,0,0,0,0,0,0,0,"N",2.26,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1024","73","0","2024","1","",167,687,683,687,10256300,4734711,26917,1151,"",0.72,0.39,0.39,0.39,0.33,0.38,0.41,0.85,"",17,11.3,-97,-12.4,-108,-13.7,-119,-14.8,-1811905,-15.0,-552100,-10.4,-11573,-30.1,-19,-1.6
"01003","3","1024","73","0","2024","1","N",3,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",3,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1024","73","0","2024","1","",1563,7089,7248,7340,101009839,51661798,321852,1075,"",0.87,0.59,0.60,0.60,0.49,0.53,0.67,0.81,"",170,12.2,212,3.1,250,3.6,153,2.1,7746973,8.3,1875271,3.8,-27656,-7.9,53,5.2
"01005","1","1024","73","0","2024","1","",1,5,5,5,103642,0,0,1594,"",13.06,1.42,1.42,1.41,2.05,0.00,0.00,1.45,"",0,0.0,-1,-16.7,-1,-16.7,-1,-16.7,-27519,-21.0,0,0.0,0,0.0,-88,-5.2
"01005","5","1024","73","0","2024","1","",49,311,303,315,2866577,2155589,30237,712,"",0.39,0.28,0.28,0.29,0.17,0.26,0.65,0.60,"",-3,-5.8,-199,-39.0,-192,-38.8,-113,-26.4,-936310,-24.6,-635556,-22.8,8515,39.2,100,16.3
"01007","5","1024","73","0","2024","1","",42,113,111,116,1674750,850868,5175,1137,"",0.46,0.16,0.16,0.16,0.13,0.16,0.17,0.81,"",1,2.4,-15,-11.7,-15,-11.9,-11,-8.7,-56205,-3.2,-61480,-6.7,-450,-8.0,89,8.5
